TextName,Length,SWD whole text,Window SWD,Genre,Author Name,Author Gender,Title,Date,title,Decade,Time Periode,words,sound words,sound word density (old),AnnotationType,File Name Plain Text,File Name automatically suspense annotated,File Name XML not annotated,File Name automatically sound annotated,File Name manually sound annotated or corrected dic-annotated
331Crookenden1802_20.01.,7854,2.037.179,3.030.365.203,Gothic,Crookenden,Male,The Vindictive Monk,1802,The Vindictive Monk,1800-09,1790-1849,7672,16,0.21,manual,331Crookenden1802.txt,331Crookenden1802_autotagged.txt,331Crookenden1802.xml,-,331Crookenden1802_20.01.xml
1393Wells1898_pre,58970,891.979,9.329.583.058,Other,"Wells, Herbert George",Male,The War of the Worlds,1898,The War of the Worlds,1890-99,1850-1915,60511,527,0.87,automated,1393Wells1898.txt,1393Wells1898_autotagged.txt,1393Wells1898.xml,1393Wells1898_pre.xml,-
Trollope1875_pre,333156,963.513,1.998.190.366,Other,"Trollope, Frances",Male,The Way we live now,1875,The Way we live now,1870-79,1850-1915,354312,322,0.09,automated,Trollope_The_Way_we_live_now.txt,-,Trollope_The_Way_we_live_now.xml,Trollope1875_pre.xml,Trollope_The_Way_anno_20.01.xml
881Machen1894_pre,21142,4.919.118,5.275.214.221,Other,"Machen, Arthur",Male,The White People,1894,The White People,1890-99,1850-1915,21740,104,0.48,automated,881Machen1894.txt,881Machen1894_autotagged.txt,881Machen1894.xml,881Machen1894_pre.xml,-
571Morgan1806_pre,105227,227.128,324.071.089,Other,"Sydney, Lady Morgan",Female,The wild Irish Girl,1806,The wild Irish Girl,1800-09,1790-1849,105775,239,0.23,automated,571Morgan1806.txt,571Morgan1806_autotagged.txt,571Morgan1806.xml,571Morgan1806_pre.xml,-
395James1902_pre,174362,1.451.004,2.109.438.449,Gothic,"James, Henry",Male,The Wings of the Dove,1902,The Wings of the Dove,1900-1909,1850-1915,188071,253,0.13,automated,395James1902.txt,395James1902_autotagged.txt,395James1902.xml,395James1902_pre.xml,-
272Collins1859_pre,241558,2.521.134,360.506.694,Gothic,"Collins, Wilkie",Male,The Woman in White,1859,The Woman in White,1850-59,1850-1915,248264,609,0.25,automated,272Collins1859.txt,272Collins1859_autotagged.txt,272Collins1859.xml,272Collins1859_pre.xml,-
1161Rymer1847_pre,320131,3.789.074,4.798.860.258,Gothic,"Rymer, James Malcolm",Male,Varney the Vampire,1847,Varney the Vampire,1840-49,1790-1849,330930,1214,0.37,automated,1161Rymer1847.txt,1161Rymer1847_autotagged.txt,1161Rymer1847.xml,1161Rymer1847_pre.xml,-
141Bronte1847_for_dic23.01,127044,2.762.822,3.599.055.975,Gothic,"Brontë, Emily",Female,Wuthering Heights,1847,Wuthering Heights,1840-49,1790-1849,119475,351,0.29,dictionary_based,141Bronte1847.txt,141Bronte1847_autotagged_double.txt,141Bronte1847.xml,-,141Bronte1847_for_dic23.01.xml
1231Shelley1810_for_dic24.01,31454,7.280.473,7.642.474.576,Gothic,"Shelley, Percy Bysshe",Male,Zastrozzi,1810,Zastrozzi,1810-19,1790-1849,30971,229,0.74,dictionary_based,1231Shelley1810.txt,1231Shelley1810_autotagged.txt,1231Shelley1810.xml,-,1231Shelley1810_for_dic24.01.xml
341Dacre1806_pre,98572,2.870.998,3.589.586.882,Gothic,"Dacre, Charlotte",Female,Zofloya or The Moor,1806,Zofloya or The Moor,1800-09,1790-1849,99454,283,0.28,automated,341Dacre1806.txt,341Dacre1806_autotagged.txt,341Dacre1806.xml,341Dacre1806_pre.xml,-
